,Event Type,Event Value,ImageID,ExpectedResp.,Correct? (1=F/same)
57,Button Pressed,2,diffOri,2,1
58,Stim 3 Onset,85.57446150000033,,,
59,Bar Orientation,0,,,
60,Button Pressed,2,sameOri,1,0
61,Stim 0 Onset,92.57690431000083,13 (HAP_M22),NR,0
62,Stim 1 Onset,94.57378365,,,
63,Button Pressed,1,,,
64,Button Pressed,1,23 (FEA_F30),1,1
65,Stim 2 Onset,96.57393018499715,,,
66,Button Pressed,1,8 (HAP_F19),1,1
67,Stim 3 Onset,98.57391677999112,,,
68,Button Pressed,2,14 (HAP_M23),2,1
69,Stim 0 Onset,105.5770472229924,,,
70,Bar Orientation,0,,,
71,Button Pressed,2,diffOri,2,1
72,Stim 1 Onset,107.5737521139963,,,
73,Bar Orientation,1,,,
74,Button Pressed,2,diffOri,2,1
75,Stim 2 Onset,109.57388850300049,,,
76,Bar Orientation,2,,,
77,Button Pressed,1,sameOri,1,1
78,Stim 3 Onset,111.57372633799969,,,
79,Bar Orientation,3,,,
80,Button Pressed,1,sameOri,1,1
81,Stim 0 Onset,118.57728083399707,,,
82,Button Pressed,1,29 (FEA_F33),1,1
83,Stim 1 Onset,120.57386626799416,,,
84,Button Pressed,1,1 (FEA_F09),1,1
85,Stim 2 Onset,122.57382617300027,,,
86,Button Pressed,2,31 (FEA_M08),2,1
87,Stim 3 Onset,124.57356614198943,,,
88,Button Pressed,1,16 (NEU_F01),1,1
89,Stim 0 Onset,131.57688341000176,,,
90,Bar Orientation,3,,,
91,Button Pressed,1,sameOri,1,1
92,Stim 1 Onset,133.57359603200166,,,
93,Bar Orientation,1,,,
94,Button Pressed,1,diffOri,2,0
95,Stim 2 Onset,135.57366012399143,,,
96,Bar Orientation,2,,,
97,Button Pressed,1,sameOri,1,1
98,Stim 3 Onset,137.57362016499974,,,
99,Bar Orientation,3,,,
100,Button Pressed,1,sameOri,1,1
101,Stim 0 Onset,144.5769589709962,,,
102,Button Pressed,1,12 (FEA_F29),1,1
103,Stim 1 Onset,146.57377608399838,,,
104,Button Pressed,1,4 (HAP_M23),2,0
105,Stim 2 Onset,148.57367015899217,,,
106,Button Pressed,1,6 (HAP_F11),1,1
107,Stim 3 Onset,150.57375759800198,,,
108,Button Pressed,2,21 (NEU_M13),2,1
109,Stim 0 Onset,157.57691447099205,,,
110,Bar Orientation,0,,,
111,Button Pressed,2,diffOri,2,1
112,Stim 1 Onset,159.5736076989997,,,
113,Bar Orientation,2,,,
114,Button Pressed,1,sameOri,1,1
115,Stim 2 Onset,161.57359503000043,,,
116,Bar Orientation,3,,,
117,Button Pressed,1,sameOri,1,1
118,Stim 3 Onset,163.5736877570016,,,
119,Bar Orientation,2,,,
120,Button Pressed,1,sameOri,1,1
121,Stim 0 Onset,170.57717443798902,2 (FEA_M11),NR,0
122,Stim 1 Onset,172.57374199100013,,,
123,Button Pressed,2,,,
124,Button Pressed,1,5 (HAP_F03),1,1
125,Stim 2 Onset,174.57409164898854,,,
126,Button Pressed,1,17 (NEU_F05),1,1
127,Stim 3 Onset,176.57361331798893,,,
128,Button Pressed,1,7 (HAP_F16),1,1
129,Stim 0 Onset,183.57679353500134,,,
130,Bar Orientation,1,,,
131,Button Pressed,2,diffOri,2,1
132,Stim 1 Onset,185.57359269500012,,,
133,Bar Orientation,0,,,
134,Button Pressed,2,diffOri,2,1
135,Stim 2 Onset,187.57359995599836,,,
136,Bar Orientation,0,,,
137,Button Pressed,2,diffOri,2,1
138,Stim 3 Onset,189.57389583298936,,,
139,Bar Orientation,0,,,
140,Button Pressed,2,diffOri,2,1
141,Stim 0 Onset,196.57690195000032,,,
142,Button Pressed,2,9 (HAP_M03),2,1
143,Stim 1 Onset,198.5737758569885,,,
144,Button Pressed,2,3 (FEA_M12),2,1
145,Stim 2 Onset,200.57375619199593,10 (HAP_M05),NR,0
146,Stim 3 Onset,202.57384651999746,,,
147,Button Pressed,1,18 (NEU_F07),1,1
148,Stim 0 Onset,209.57682867599942,,,
149,Bar Orientation,2,,,
150,Button Pressed,1,sameOri,1,1
151,Stim 1 Onset,211.5738704589894,,,
152,Bar Orientation,0,,,
153,Button Pressed,2,diffOri,2,1
154,Stim 2 Onset,213.57391216699034,,,
155,Bar Orientation,1,,,
156,Button Pressed,2,diffOri,2,1
157,Stim 3 Onset,215.57366740499856,,,
158,Bar Orientation,1,,,
159,Button Pressed,2,diffOri,2,1
,Total correct (%),,,,85.9375
