,Event Type,Event Value,ImageID,ExpectedResp.,Correct? (1=F/same)
0,Sync Time,1.497902276,,,
1,Stim 0 Onset,14.576927438989514,,,
2,Button Pressed,1,24 (NEU_M18),2,0
3,Stim 1 Onset,16.573681333989953,,,
4,Button Pressed,2,25 (NEU_M24),2,1
5,Stim 2 Onset,18.573863357989467,,,
6,Button Pressed,2,27 (NEU_M31),2,1
7,Stim 3 Onset,20.57362551499682,,,
8,Button Pressed,2,32 (FEA_M09),2,1
9,Stim 0 Onset,27.576806835990283,,,
10,Bar Orientation,2,,,
11,Button Pressed,1,sameOri,1,1
12,Stim 1 Onset,29.57358951200149,,,
13,Bar Orientation,1,,,
14,Button Pressed,2,diffOri,2,1
15,Stim 2 Onset,31.573873954999726,,,
16,Bar Orientation,3,,,
17,Button Pressed,1,sameOri,1,1
18,Stim 3 Onset,33.57371202298964,,,
19,Bar Orientation,1,,,
20,Button Pressed,2,diffOri,2,1
21,Stim 0 Onset,40.57681726699229,22 (NEU_M17),NR,
22,Stim 1 Onset,42.57383201298944,,,
23,Button Pressed,2,,,
24,Button Pressed,2,11 (HAP_M06),2,1
25,Stim 2 Onset,44.573613023996586,,,
26,Button Pressed,1,19 (NEU_F13),1,1
27,Stim 3 Onset,46.573746776994085,,,
28,Button Pressed,2,26 (NEU_M29),2,1
29,Stim 0 Onset,53.57714384699648,,,
30,Bar Orientation,0,,,
31,Button Pressed,2,diffOri,2,1
32,Stim 1 Onset,55.57381743199949,,,
33,Bar Orientation,2,,,
34,Button Pressed,1,sameOri,1,1
35,Stim 2 Onset,57.57390536,,,
36,Bar Orientation,3,,,
37,Button Pressed,1,sameOri,1,1
38,Stim 3 Onset,59.57373181199364,,,
39,Bar Orientation,2,,,
40,Button Pressed,1,sameOri,1,1
41,Stim 0 Onset,66.57688403499196,30 (FEA_F35),NR,0
42,Stim 1 Onset,68.57382183,,,
43,Button Pressed,1,,,
44,Button Pressed,1,28 (FEA_F31),1,1
45,Stim 2 Onset,70.57375607099675,,,
46,Button Pressed,1,20 (NEU_F20),1,1
47,Stim 3 Onset,72.57373864899273,,,
48,Button Pressed,2,15 (HAP_M25),2,1
49,Stim 0 Onset,79.57694974499464,,,
50,Bar Orientation,1,,,
51,Button Pressed,2,diffOri,2,1
52,Stim 1 Onset,81.57366138599173,,,
53,Bar Orientation,2,,,
54,Button Pressed,1,sameOri,1,1
55,Stim 2 Onset,83.57368974,,,
56,Bar Orientation,1,,,
