,Event Type,Event Value,ImageID,ExpectedResp.,Correct? (1=F/same)
148,Button Pressed,1,17 (NEU_F05),1,1
149,Stim 0 Onset,209.56882889999542,,,
150,Bar Orientation,0,,,
151,Button Pressed,2,diffOri,2,1
152,Stim 1 Onset,211.56553335799254,,,
153,Bar Orientation,2,,,
154,Button Pressed,1,sameOri,1,1
155,Stim 2 Onset,213.56594219499675,,,
156,Bar Orientation,2,,,
157,Button Pressed,1,sameOri,1,1
158,Stim 3 Onset,215.56585904599342,,,
159,Bar Orientation,1,,,
160,Button Pressed,2,diffOri,2,1
,Total Correct (%),,,,81.25
